district:,senator name:,party:,,official?,(official) tag:,link:,verified?,,(other) tag:,link:,notes:
1,Mark Johnson,R,,TRUE,Senmarkjohnson,https://twitter.com/senmarkjohnson?lang=en,TRUE,,,,
2,Paul Utke,R,,TRUE,SenUtke,https://twitter.com/senutke?lang=en,TRUE,,,,
3,Thomas Bakk,DFL,,FALSE,-,-,FALSE,,,,
4,Kent Eken,DFL,,TRUE,Kent_Eken,https://twitter.com/kent_eken?lang=en,FALSE,,,,
5,Justin Eichorn,R,,TRUE,SenatorEichorn,https://twitter.com/senatoreichorn?lang=en,TRUE,,,,
6,David Tomassoni,DFL,,TRUE,Ranuccio11,https://twitter.com/ranuccio11?lang=en,FALSE,,,,
7,Erik Simonson,DFL,,TRUE,ErikSimonson,https://twitter.com/eriksimonson?lang=en,FALSE,,,,
8,Bill Ingebrigsten,R,,TRUE,sen_inge,https://twitter.com/sen_inge?lang=en,TRUE,,,,
9,Paul Gazelka,R,,TRUE,paulgazelka,https://twitter.com/paulgazelka?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
10,Carrie Rudd,R,,TRUE,CarrieRuud,https://twitter.com/CarrieRuud?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
11,Jason Rarick,R,,TRUE,JasonRarick,https://twitter.com/jasonrarick?lang=en,TRUE,,,,
12,Torrey Westrom,R,,TRUE,SenWestrom,https://twitter.com/senwestrom?lang=en,TRUE,,TorreyWestrom,https://twitter.com/torreywestrom?lang=en,personal
13,Jeff Howe,R,,TRUE,JeffHoweMN,https://twitter.com/JeffHoweMN,TRUE,,,,
14,Jerry Relph,R,,TRUE,SenatorRelph,https://twitter.com/senatorrelph?lang=en,TRUE,,,,
15,Andrew Matthews,R,,TRUE,AndrewMathewsMN,https://twitter.com/andrewmathewsmn?lang=en,TRUE,,,,
16,Gary Dahms,R,,TRUE,sendahms,https://twitter.com/sendahms?lang=enn,FALSE,,DahmsForSenate,https://twitter.com/dahmsforsenate,campaign
17,Andrew Lang,R,,TRUE,SenatorLangMN,https://twitter.com/senatorlangmn?lang=en,TRUE,,,,
18,Scott Newman,R,,TRUE,SenatorNewmanMN,https://twitter.com/SenatorNewmanMN?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
19,Nick Frentz,DFL,,TRUE,NickAFrentz,https://twitter.com/NickAFrentz?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,frentzforsenate,https://twitter.com/frentzforsenate,campaign
20,Rich Draheim,R,,TRUE,SenatorDraheim,https://twitter.com/senatordraheim?lang=en,TRUE,,,,
21,Mike Goggin,R,,TRUE,SenatorGoggin,https://twitter.com/senatorgoggin?lang=en,TRUE,,,,
22,Bill Weber,R,,TRUE,SenatorWeber,https://twitter.com/senatorweber?lang=en,TRUE,,,,
23,Julie A. Rosen,R,,TRUE,JulieRosenMN,https://twitter.com/JulieRosenMN?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
24,John Jasinski,R,,TRUE,SenatorJasinski,https://twitter.com/SenatorJasinski?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
25,David H. Senjem,R,,TRUE,DSenjem,https://twitter.com/dsenjem?lang=en,TRUE,,,,
26,Carla Nelson,R,,TRUE,CarlaNelsonMN,https://twitter.com/CarlaNelsonMN?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
27,Dan Sparks,DFL,,FALSE,-,,FALSE,,,,
28,Jeremy Miller,R,,TRUE,jeremyrmiller,https://twitter.com/jeremyrmiller?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
29,Bruce Anderson,R,,FALSE,-,,FALSE,,,,
30,Mary Kiffmeyer,R,,TRUE,marykiff,https://twitter.com/marykiff?lang=en,TRUE,,,,
31,Michelle Benson,R,,TRUE,SenatorBenson,https://twitter.com/SenatorBenson?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
32,Mark Koran,R,,TRUE,MarkkoranMN,https://twitter.com/MarkkoranMN?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
33,David Osmek,R,,TRUE,DavidJOsmek,https://twitter.com/davidjosmek?lang=en,FALSE,,,,website leads to this...
34,Warren Limmer,R,,TRUE,SenWarrenLimmer,https://twitter.com/senwarrenlimmer?lang=en,TRUE,,,,interesting opposition page
35,Jim Abeler,R,,TRUE,jimabeler,https://twitter.com/jimabeler?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
36,John Hoffman,DFL,,TRUE,JohnHoffmanMN,https://twitter.com/JohnHoffmanMN?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
37,Jerry Newton,DFL,,FALSE,-,,FALSE,,VoteJerryNewton,https://twitter.com/votejerrynewton?lang=en,campaign
38,Roger Chamberlain,R,,TRUE,rcchamberlain1,https://twitter.com/rcchamberlain1?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
39,Karin Housley,R,,TRUE,KarinHousley,https://twitter.com/KarinHousley?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
40,Chris Eaton,DFL,,TRUE,EatonSenator,https://twitter.com/eatonsenator?lang=en,FALSE,,,,
41,Carolyn Laine,DFL,,TRUE,CarolynLaine,https://twitter.com/carolynlaine?lang=en,FALSE,,,,
42,Jason Isaacson,DFL,,TRUE,jasondisaacson,https://twitter.com/jasondisaacson?lang=en,FALSE,,,,
43,Charles W. Wiger,DFL,,TRUE,ChuckWiger,https://twitter.com/ChuckWiger?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
44,Paul Anderson,R,,TRUE,PTAnderson_MN,https://twitter.com/ptanderson_mn?lang=en,TRUE,,,,
45,Ann H. Rest,DFL,,TRUE,SenatorAnn,https://twitter.com/senatorann?lang=en,FALSE,,,,
46,Ron Latz,DFL,,TRUE,SenRonLatz,https://twitter.com/SenRonLatz?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
47,Scott Jensen,R,,TRUE,drscottjensen,https://twitter.com/drscottjensen?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
48,Steve Cwodzinski,DFL,,TRUE,CwodMN,https://twitter.com/cwodmn?lang=en,FALSE,,,,
49,Melisa Franzen,DFL,,TRUE,MelisaFranzen,https://twitter.com/MelisaFranzen?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
50,Melissa H. Wiklund,DFL,,TRUE,mhwiklund,https://twitter.com/mhwiklund?lang=en,FALSE,,,,
51,Jim Carlson,DFL,,TRUE,SenatorCarlson,https://twitter.com/senatorcarlson?lang=en,FALSE,,,,
52,Matt Klein,DFL,,TRUE,MattKleinSD52,https://twitter.com/MattKleinSD52?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
53,Susan Kent,DFL,,TRUE,SusanKentMN,https://twitter.com/SusanKentMN?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
54,Karla Bigham,DFL,,TRUE,karlabigham,https://twitter.com/karlabigham?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
55,Eric Pratt,R,,TRUE,EricPrattMN,https://twitter.com/EricPrattMN?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
56,Dan Hall,R,,TRUE,SenatorDanHall,https://twitter.com/SenatorDanHall?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TRUE,,,,
57,Greg Clausen,DFL,,TRUE,SenGregClausen,https://twitter.com/sengregclausen?lang=enn,FALSE,,,,
58,Matt Little,DFL,,TRUE,LittleSenator,https://twitter.com/LittleSenator?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
59,Bobby Joe Champion,DFL,,TRUE,SenChampionMN59,https://twitter.com/senchampionmn59?lang=en,FALSE,,,,
60,Kari Dziedzic,DFL,,TRUE,KariDziedzic,https://twitter.com/karidziedzic?lang=en,FALSE,,,,
61,Scott Dibble,DFL,,TRUE,ScottDibble,https://twitter.com/ScottDibble?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
62,Jeff Hayden,DFL,,TRUE,jeffreyhayden,https://twitter.com/jeffreyhayden?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
63,Patricia Torres Ray,DFL,,TRUE,TorresRayMN,https://twitter.com/torresraymn?lang=en,TRUE,,,,
64,Richard J. Cohen,DFL,,TRUE,SenDickCohen,https://twitter.com/sendickcohen?lang=en,FALSE,,,,
65,Sandra L. Pappas,DFL,,TRUE,SenatorPappas,https://twitter.com/SenatorPappas?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,FALSE,,,,
66,John Marty,DFL,,TRUE,JohnMarty,https://twitter.com/johnmarty?lang=en,FALSE,,,,
67,Foung Hawj,DFL,,TRUE,founghawj,https://twitter.com/founghawj?lang=en,FALSE,,,,
,,,,,,,,,,,
,total DFL:,32,,,,,,,,,
,total R:,35,,,,,,,,,